Rk,Year,G#,Date,Age,Tm,,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,TD,Scoring_2PM,Scoring_Pts
1,2005,5,2005-10-09,21-311,GNB,,NOR,W 52-3,,1,1,100.00%,0,0,0,79.2,0.00,0.00,0,0,,0,0,0,,0,0,,0
2,2005,14,2005-12-19,22-017,GNB,@,BAL,L 3-48,,8,15,53.33%,65,0,1,36.8,4.33,1.33,1,8,8.00,0,0,0,,0,0,,0
3,2005,16,2006-01-01,22-030,GNB,,SEA,W 23-17,,0,0,,0,0,0,,,,1,-1,-1.00,0,0,0,,0,0,,0
4,2006,4,2006-10-02,22-304,GNB,@,PHI,L 9-31,,2,3,66.67%,14,0,0,77.1,4.67,4.67,0,0,,0,0,0,,0,0,,0
5,2006,10,2006-11-19,22-352,GNB,,NWE,L 0-35,,4,12,33.33%,32,0,0,42.4,2.67,2.67,2,11,5.50,0,0,0,,0,0,,0
6,2007,9,2007-11-11,23-344,GNB,,MIN,W 34-0,,2,2,100.00%,17,0,0,102.1,8.50,8.50,2,-1,-0.50,0,0,0,,0,0,,0
7,2007,12,2007-11-29,23-362,GNB,@,DAL,L 27-37,,18,26,69.23%,201,1,0,104.8,7.73,8.50,5,30,6.00,0,0,0,,0,0,,0
8,2008,1,2008-09-08,24-281,GNB,,MIN,W 24-19,*,18,22,81.82%,178,1,0,115.5,8.09,9.00,8,35,4.38,1,0,0,,0,1,,6
9,2008,2,2008-09-14,24-287,GNB,@,DET,W 48-25,*,24,38,63.16%,328,3,0,117.0,8.63,10.21,4,25,6.25,0,0,0,,0,0,,0
10,2008,3,2008-09-21,24-294,GNB,,DAL,L 16-27,*,22,39,56.41%,290,0,0,80.1,7.44,7.44,5,10,2.00,1,0,0,,0,1,,6
11,2008,4,2008-09-28,24-301,GNB,@,TAM,L 21-30,*,14,27,51.85%,165,2,3,55.9,6.11,2.59,2,8,4.00,0,0,0,,0,0,,0
12,2008,5,2008-10-05,24-308,GNB,,ATL,L 24-27,*,25,37,67.57%,313,3,1,109.4,8.46,8.86,2,4,2.00,0,0,0,,0,0,,0
13,2008,6,2008-10-12,24-315,GNB,@,SEA,W 27-17,*,21,30,70.00%,208,2,0,111.5,6.93,8.27,6,23,3.83,1,0,0,,0,1,,6
14,2008,7,2008-10-19,24-322,GNB,,IND,W 34-14,*,21,28,75.00%,186,1,0,104.2,6.64,7.36,3,8,2.67,0,0,0,,0,0,,0
15,2008,8,2008-11-02,24-336,GNB,@,TEN,L 16-19,*,22,41,53.66%,314,1,1,76.7,7.66,7.05,2,11,5.50,0,0,0,,0,0,,0
16,2008,9,2008-11-09,24-343,GNB,@,MIN,L 27-28,*,15,26,57.69%,142,0,0,72.9,5.46,5.46,1,1,1.00,0,0,0,,0,0,,0
17,2008,10,2008-11-16,24-350,GNB,,CHI,W 37-3,*,23,30,76.67%,227,2,1,105.8,7.57,7.40,1,1,1.00,0,0,0,,0,0,,0
18,2008,11,2008-11-24,24-358,GNB,@,NOR,L 29-51,*,23,41,56.10%,248,2,3,59.8,6.05,3.73,8,36,4.50,1,0,0,,0,1,,6
19,2008,12,2008-11-30,24-364,GNB,,CAR,L 31-35,*,29,45,64.44%,298,3,1,96.3,6.62,6.96,5,26,5.20,0,0,0,,0,0,1,2
