Rk,Year,G#,Date,Age,Tm,,Opp,Result,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,TD,Scoring_2PM,Scoring_Pts,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD
1,2007,1,2007-09-09,22-172,MIN,,ATL,W 24-3,19,103,5.42,0,1,60,60.00,1,1,,6,1,22,22.00,0
2,2007,2,2007-09-16,22-179,MIN,@,DET,L 17-20,20,66,3.30,0,4,52,13.00,0,0,,0,0,0,,0
3,2007,3,2007-09-23,22-186,MIN,@,KAN,L 10-13,25,102,4.08,1,3,48,16.00,0,1,,6,0,0,,0
4,2007,4,2007-09-30,22-193,MIN,,GNB,L 16-23,12,112,9.33,0,1,6,6.00,0,0,,0,3,98,32.67,0
5,2007,5,2007-10-14,22-207,MIN,@,CHI,W 34-31,20,224,11.20,3,1,9,9.00,0,3,,18,4,128,32.00,0
6,2007,6,2007-10-21,22-214,MIN,@,DAL,L 14-24,12,63,5.25,1,1,12,12.00,0,1,,6,3,65,21.67,0
7,2007,7,2007-10-28,22-221,MIN,,PHI,L 16-23,20,70,3.50,0,0,0,,0,0,,0,2,11,5.50,0
8,2007,8,2007-11-04,22-228,MIN,,SDG,W 35-17,30,296,9.87,3,1,19,19.00,0,3,,18,0,0,,0
9,2007,9,2007-11-11,22-235,MIN,@,GNB,L 0-34,11,45,4.09,0,3,14,4.67,0,0,,0,0,0,,0
10,2007,12,2007-12-02,22-256,MIN,,DET,W 42-10,15,116,7.73,2,1,10,10.00,0,2,,12,0,0,,0
11,2007,13,2007-12-09,22-263,MIN,@,SFO,W 27-7,14,3,0.21,0,0,0,,0,0,,0,0,0,,0
12,2007,14,2007-12-17,22-271,MIN,,CHI,W 20-13,20,78,3.90,2,1,17,17.00,0,2,,12,0,0,,0
13,2007,15,2007-12-23,22-277,MIN,,WAS,L 21-32,9,27,3.00,0,2,21,10.50,0,0,,0,0,0,,0
14,2007,16,2007-12-30,22-284,MIN,@,DEN,L 19-22,11,36,3.27,0,0,0,,0,0,,0,3,88,29.33,0
15,2008,1,2008-09-08,23-171,MIN,@,GNB,L 19-24,19,103,5.42,1,1,11,11.00,0,1,,6,0,0,,0
16,2008,2,2008-09-14,23-177,MIN,,IND,L 15-18,29,160,5.52,0,4,20,5.00,0,0,,0,0,0,,0
17,2008,3,2008-09-21,23-184,MIN,,CAR,W 20-10,17,77,4.53,0,0,0,,0,0,,0,0,0,,0
18,2008,4,2008-09-28,23-191,MIN,@,TEN,L 17-30,18,80,4.44,2,4,21,5.25,0,2,,12,0,0,,0
19,2008,5,2008-10-06,23-199,MIN,@,NOR,W 30-27,21,32,1.52,0,1,9,9.00,0,0,,0,0,0,,0
