Rk,Year,G#,Date,Age,Tm,,Opp,Result,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Y/A,Passing_AY/A,TD,Pts,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD
1,2010,1,2010-09-12,23-181,DEN,@,JAX,L 17-24,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2010,2,2010-09-19,23-188,DEN,,SEA,W 31-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2010,4,2010-10-03,23-202,DEN,@,TEN,W 26-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2010,6,2010-10-17,23-216,DEN,,NYJ,L 20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2010,7,2010-10-24,23-223,DEN,,OAK,L 14-59,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,1,23,23.00,0,0,0,,0
6,2010,8,2010-10-31,23-230,DEN,@,SFO,L 16-24,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
7,2010,9,2010-11-14,23-244,DEN,,KAN,W 49-29,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
8,2010,10,2010-11-22,23-252,DEN,@,SDG,L 14-35,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2010,11,2010-11-28,23-258,DEN,,STL,L 33-36,2,48,24.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
10,2010,12,2010-12-05,23-265,DEN,@,KAN,L 6-10,1,28,28.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,2,42,21.00,0,0,0,,0
11,2010,13,2010-12-12,23-272,DEN,@,ARI,L 13-43,1,8,8.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,7,211,30.14,0,0,0,,0
12,2010,14,2010-12-19,23-279,DEN,@,OAK,L 23-39,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,7,153,21.86,0,0,0,,0
13,2010,15,2010-12-26,23-286,DEN,,HOU,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,1,25,25.00,0,0,0,,0
14,2010,16,2011-01-02,23-293,DEN,,SDG,L 28-33,2,22,11.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,4,102,25.50,0,0,0,,0
15,2011,1,2011-09-12,24-181,DEN,,OAK,L 20-23,3,53,17.67,0,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,5,128,25.60,1
16,2011,2,2011-09-18,24-187,DEN,,CIN,W 24-22,5,113,22.60,2,0,0,,0,0,0,,0,0,0,,,,2,12,0,0,,0,0,0,,0
17,2011,3,2011-09-25,24-194,DEN,@,TEN,L 14-17,7,48,6.86,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
18,2011,4,2011-10-02,24-201,DEN,@,GNB,L 23-49,5,56,11.20,2,1,1,1.00,0,0,0,,0,0,0,,,,2,12,0,0,,0,0,0,,0
19,2011,5,2011-10-09,24-208,DEN,,SDG,L 24-29,2,-4,-2.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
20,2011,6,2011-10-23,24-222,DEN,@,MIA,W 18-15,2,21,10.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
21,2011,7,2011-10-30,24-229,DEN,,DET,L 10-45,6,72,12.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
22,2011,8,2011-11-06,24-236,DEN,@,OAK,W 38-24,3,47,15.67,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
23,2011,9,2011-11-13,24-243,DEN,@,KAN,W 17-10,1,56,56.00,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
24,2011,10,2011-11-17,24-247,DEN,,NYJ,W 17-13,0,0,,0,0,0,,0,0,1,0.00%,0,0,0,39.6,0.00,0.00,0,0,0,0,,0,1,5,5.00,0
25,2011,11,2011-11-27,24-257,DEN,@,SDG,W 16-13,3,65,21.67,1,0,0,,0,0,0,,0,0,0,,,,1,6,2,50,25.00,0,0,0,,0
26,2011,12,2011-12-04,24-264,DEN,@,MIN,W 35-32,2,25,12.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
27,2011,13,2011-12-11,24-271,DEN,,CHI,W 13-10,3,33,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
28,2011,14,2011-12-18,24-278,DEN,,NWE,L 23-41,1,22,22.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
29,2011,15,2011-12-24,24-284,DEN,@,BUF,L 14-40,0,0,,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
30,2011,16,2012-01-01,24-292,DEN,,KAN,L 3-7,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
31,2012,1,2012-09-09,25-178,DEN,,PIT,W 31-19,5,54,10.80,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
32,2012,2,2012-09-17,25-186,DEN,@,ATL,L 21-27,4,53,13.25,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,1,9,9.00,0
33,2012,3,2012-09-23,25-192,DEN,,HOU,L 25-31,8,136,17.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,1,13,13.00,0
34,2012,4,2012-09-30,25-199,DEN,,OAK,W 37-6,7,79,11.29,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
35,2012,5,2012-10-07,25-206,DEN,@,NWE,L 21-31,4,21,5.25,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
36,2012,6,2012-10-15,25-214,DEN,@,SDG,W 35-24,6,98,16.33,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
37,2012,7,2012-10-28,25-227,DEN,,NOR,W 34-14,4,43,10.75,2,0,0,,0,0,0,,0,0,0,,,,2,12,0,0,,0,0,0,,0
38,2012,8,2012-11-04,25-234,DEN,@,CIN,W 31-23,8,99,12.38,2,0,0,,0,0,0,,0,0,0,,,,2,12,0,0,,0,0,0,,0
39,2012,9,2012-11-11,25-241,DEN,@,CAR,W 36-14,2,15,7.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
40,2012,10,2012-11-18,25-248,DEN,,SDG,W 30-23,2,23,11.50,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
41,2012,11,2012-11-25,25-255,DEN,@,KAN,W 17-9,4,64,16.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
42,2012,12,2012-12-02,25-262,DEN,,TAM,W 31-23,2,17,8.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
43,2012,13,2012-12-06,25-266,DEN,@,OAK,W 26-13,8,88,11.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
44,2012,14,2012-12-16,25-276,DEN,@,BAL,W 34-17,8,133,16.63,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
45,2012,15,2012-12-23,25-283,DEN,,CLE,W 34-12,6,65,10.83,2,0,0,,0,0,0,,0,0,0,,,,2,12,0,0,,0,0,0,,0
46,2012,16,2012-12-30,25-290,DEN,,KAN,W 38-3,7,76,10.86,2,0,0,,0,0,0,,0,0,0,,,,2,12,0,0,,0,0,0,,0
47,2013,1,2013-09-05,26-174,DEN,,BAL,W 49-27,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
48,2013,2,2013-09-15,26-184,DEN,@,NYG,W 41-23,9,87,9.67,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
49,2013,3,2013-09-23,26-192,DEN,,OAK,W 37-21,8,133,16.63,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
50,2013,4,2013-09-29,26-198,DEN,,PHI,W 52-20,5,88,17.60,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
51,2013,5,2013-10-06,26-205,DEN,@,DAL,W 51-48,5,87,17.40,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
52,2013,6,2013-10-13,26-212,DEN,,JAX,W 35-19,5,50,10.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
53,2013,7,2013-10-20,26-219,DEN,@,IND,L 33-39,8,150,18.75,1,0,0,,0,0,0,,0,0,0,,,,1,6,0,0,,0,0,0,,0
54,2013,8,2013-10-27,26-226,DEN,,WAS,W 45-21,4,42,10.50,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
55,2013,9,2013-11-10,26-240,DEN,@,SDG,W 28-20,3,52,17.33,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
56,2013,10,2013-11-17,26-247,DEN,,KAN,W 27-17,5,71,14.20,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
57,2013,11,2013-11-24,26-254,DEN,@,NWE,L 31-34,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,,,0,0,0,0,,0,0,0,,0
58,2013,12,2013-12-01,26-261,DEN,@,KAN,W 35-28,8,174,21.75,4,0,0,,0,0,0,,0,0,0,,,,4,24,0,0,,0,0,0,,0
