<pre>Teams:10,Rounds:15,Total drafts:1223
Start date,July 29, 2014
End date,July 31, 2014

ADP,Overall,Name,Position,Team,Times Drafted,Bye
1.02,1.7,LeSean McCoy,RB,PHI,805,7
1.02,2.3,Jamaal Charles,RB,KC,926,6
1.03,3.4,Adrian Peterson,RB,MIN,1082,10
1.04,4.1,Matt Forte,RB,CHI,579,9
1.05,5.2,Calvin Johnson,WR,DET,865,9
1.06,6.1,Eddie Lacy,RB,GB,927,9
1.08,8.0,Jimmy Graham,TE,NO,830,6
1.09,8.9,Demaryius Thomas,WR,DEN,872,4
1.09,9.4,Peyton Manning,QB,DEN,790,4
2.01,10.8,Montee Ball,RB,DEN,759,4
2.01,11.1,Dez Bryant,WR,DAL,888,11
2.01,11.5,Marshawn Lynch,RB,SEA,875,4
2.03,13.2,Arian Foster,RB,HOU,882,10
2.04,13.5,A.J. Green,WR,CIN,975,4
2.05,15.0,DeMarco Murray,RB,DAL,908,11
2.06,16.2,Julio Jones,WR,ATL,936,9
2.07,16.8,LeVeon Bell,RB,PIT,805,12
2.07,17.0,Brandon Marshall,WR,CHI,980,9
2.09,19.3,Aaron Rodgers,QB,GB,791,9
2.10,20.3,Giovani Bernard,RB,CIN,809,4
2.10,20.3,Drew Brees,QB,NO,855,6
3.02,21.8,Jordy Nelson,WR,GB,896,9
3.02,22.2,Alfred Morris,RB,WAS,832,10
3.05,24.7,Antonio Brown,WR,PIT,829,12
3.05,24.8,Doug Martin,RB,TB,846,7
3.06,25.9,Alshon Jeffery,WR,CHI,821,9
3.06,26.3,Rob Gronkowski,TE,NE,833,10
3.08,27.5,Zac Stacy,RB,STL,846,4
3.09,28.7,Randall Cobb,WR,GB,870,9
3.10,30.2,Andre Ellington,RB,ARI,814,4
3.10,30.5,Julius Thomas,TE,DEN,832,4
4.02,32.2,C.J. Spiller,RB,BUF,820,9
4.03,32.8,Reggie Bush,RB,DET,825,9
4.04,33.8,Keenan Allen,WR,SD,789,10
4.05,35.0,Vincent Jackson,WR,TB,810,7
4.06,35.7,Toby Gerhart,RB,JAC,770,11
4.07,37.4,Pierre Garcon,WR,WAS,710,10
4.07,37.4,Victor Cruz,WR,NYG,771,8
5.01,40.9,Larry Fitzgerald,WR,ARI,711,4
5.01,41.1,Ryan Mathews,RB,SD,712,10
5.01,41.2,Wes Welker,WR,DEN,702,4
5.02,42.5,Bishop Sankey,RB,TEN,628,9
5.03,43.0,Andre Johnson,WR,HOU,778,10
5.03,43.2,Cordarrelle Patterson,WR,MIN,676,10
5.05,44.5,Matthew Stafford,QB,DET,661,9
5.05,45.1,Roddy White,WR,ATL,751,9
5.05,45.1,Frank Gore,RB,SF,850,8
5.09,48.9,Percy Harvin,WR,SEA,758,4
5.09,49.2,Shane Vereen,RB,NE,641,10
5.10,49.6,Michael Crabtree,WR,SF,777,8
5.10,49.9,Rashad Jennings,RB,NYG,707,8
6.01,50.9,DeSean Jackson,WR,WAS,843,10
6.02,51.8,Andrew Luck,QB,IND,633,10
6.02,51.8,Chris Johnson,RB,NYJ,796,11
6.02,52.2,Vernon Davis,TE,SF,688,8
6.04,54.1,Trent Richardson,RB,IND,778,10
6.05,55.4,Jordan Cameron,TE,CLE,630,4
6.06,56.2,Michael Floyd,WR,ARI,636,4
6.09,59.1,Ray Rice,RB,BAL,860,11
6.09,59.4,T.Y. Hilton,WR,IND,759,10
6.10,59.6,Ben Tate,RB,CLE,691,4
7.01,60.7,Jeremy Maclin,WR,PHI,801,7
7.03,62.9,Joique Bell,RB,DET,748,9
7.04,64.3,Nick Foles,QB,PHI,580,7
7.05,64.8,Torrey Smith,WR,BAL,634,11
7.06,65.9,Emmanuel Sanders,WR,DEN,706,4
7.08,67.5,Stevan Ridley,RB,NE,653,10
7.08,67.9,Robert Griffin III,QB,WAS,566,10
7.08,68.0,Jason Witten,TE,DAL,506,11
7.09,68.8,Tom Brady,QB,NE,612,10
8.01,70.6,Mike Wallace,WR,MIA,627,5
8.01,71.0,Steven Jackson,RB,ATL,572,9
8.02,71.6,Julian Edelman,WR,NE,633,10
8.03,73.0,Sammy Watkins,WR,BUF,711,9
8.03,73.3,Lamar Miller,RB,MIA,700,5
8.04,74.2,Pierre Thomas,RB,NO,494,6
8.07,76.7,Marques Colston,WR,NO,592,6
8.07,77.0,Matt Ryan,QB,ATL,706,9
8.08,77.9,Maurice Jones-Drew,RB,OAK,484,5
8.08,78.0,Jordan Reed,TE,WAS,469,10
8.08,78.2,Darren Sproles,RB,PHI,473,7
8.10,80.5,Terrance Williams,WR,DAL,524,11
9.01,80.8,Cam Newton,QB,CAR,627,12
9.01,81.2,Seattle Defense,DEF,SEA,749,4
9.02,82.2,Golden Tate,WR,DET,581,9
